               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.037347,            0.027426,            0.021968,             0.55623,             0.49145,             0.49396,             0.25177,            0.032098,            0.013507,            0.030408,            0.002773,            0.002773,            0.002773
                  75,            0.037279,            0.027017,            0.021506,             0.53117,             0.54734,             0.49506,             0.24873,            0.032042,            0.013623,             0.02963,            0.002674,            0.002674,            0.002674
                  76,            0.037219,            0.026427,            0.022162,             0.53992,             0.50885,             0.49195,             0.25895,            0.032721,            0.013716,            0.033961,            0.002575,            0.002575,            0.002575
                  77,            0.036544,            0.026539,            0.021508,             0.52865,             0.54708,             0.52123,             0.27011,            0.031912,            0.013506,            0.031022,            0.002476,            0.002476,            0.002476
                  78,            0.036719,            0.026719,            0.020483,             0.53624,             0.55595,             0.50893,             0.26607,             0.03244,            0.013404,            0.030302,            0.002377,            0.002377,            0.002377
                  79,            0.036823,            0.026526,            0.020664,             0.51022,             0.53753,             0.50712,             0.27136,             0.03227,            0.013663,            0.027435,            0.002278,            0.002278,            0.002278
                  80,            0.036015,            0.027718,            0.019776,               0.541,             0.54501,             0.50519,             0.26503,             0.03192,            0.013374,            0.027326,            0.002179,            0.002179,            0.002179
                  81,            0.035953,            0.026084,            0.019736,             0.52513,             0.56854,             0.51484,             0.27118,            0.031545,            0.013677,            0.029006,             0.00208,             0.00208,             0.00208
                  82,            0.035835,            0.026411,            0.019756,             0.56312,             0.52157,             0.51054,              0.2748,            0.031111,            0.013191,            0.029322,            0.001981,            0.001981,            0.001981
                  83,            0.035622,             0.02686,            0.019019,             0.52554,             0.56343,             0.50207,             0.26819,            0.030806,            0.013479,            0.030918,            0.001882,            0.001882,            0.001882
                  84,            0.035462,            0.026915,            0.020299,             0.53729,             0.51816,             0.50976,             0.27241,            0.031268,            0.013768,            0.029511,            0.001783,            0.001783,            0.001783
                  85,            0.034986,            0.025828,            0.019471,             0.49458,             0.61102,             0.50861,             0.27613,            0.031526,             0.01387,            0.030818,            0.001684,            0.001684,            0.001684
                  86,            0.035351,            0.026799,            0.020674,             0.52468,             0.54198,             0.50949,             0.26867,            0.030571,            0.013471,            0.026148,            0.001585,            0.001585,            0.001585
                  87,            0.035253,            0.025576,            0.019598,             0.52312,             0.53074,             0.51129,             0.27495,              0.0305,            0.013543,            0.027627,            0.001486,            0.001486,            0.001486
                  88,            0.034819,            0.025983,            0.017647,             0.53935,             0.51333,             0.52349,             0.29068,            0.030367,            0.013005,            0.027213,            0.001387,            0.001387,            0.001387
                  89,             0.03537,            0.025426,            0.018545,             0.53413,             0.57846,             0.52445,             0.28905,            0.030334,            0.013372,            0.024686,            0.001288,            0.001288,            0.001288
                  90,             0.03471,            0.026608,            0.017513,             0.55079,             0.52713,             0.51273,             0.28512,            0.030852,            0.013143,            0.027865,            0.001189,            0.001189,            0.001189
                  91,            0.034999,            0.026049,            0.018274,             0.53819,             0.56517,             0.53493,             0.29624,            0.030202,            0.013249,            0.026294,             0.00109,             0.00109,             0.00109
                  92,            0.034095,            0.025353,            0.018813,             0.56594,             0.53326,             0.53445,              0.2914,            0.030288,            0.012986,            0.025658,            0.000991,            0.000991,            0.000991
                  93,            0.034421,            0.025483,            0.018015,             0.52534,             0.56312,             0.52482,             0.28933,            0.030193,            0.013241,            0.028614,            0.000892,            0.000892,            0.000892
                  94,            0.034538,            0.026348,            0.018024,             0.55855,             0.52278,             0.52254,              0.2834,            0.030846,            0.013045,            0.027032,            0.000793,            0.000793,            0.000793
                  95,            0.034126,            0.025825,            0.017729,             0.55682,             0.55853,             0.54525,             0.30092,            0.030058,            0.012958,            0.025902,            0.000694,            0.000694,            0.000694
                  96,             0.03305,            0.025326,            0.016426,             0.54518,             0.56784,              0.5233,             0.29462,             0.03025,            0.013152,            0.027295,            0.000595,            0.000595,            0.000595
                  97,            0.034058,            0.025461,            0.017391,             0.55965,             0.56365,             0.53966,             0.30189,            0.030042,            0.013118,             0.02538,            0.000496,            0.000496,            0.000496
                  98,            0.033415,            0.025198,            0.016473,             0.55468,             0.56869,             0.53516,             0.29929,            0.029795,            0.012995,             0.02805,            0.000397,            0.000397,            0.000397
                  99,            0.033387,            0.025821,            0.016761,             0.55247,             0.58966,              0.5338,              0.3025,            0.029688,            0.013198,            0.026837,            0.000298,            0.000298,            0.000298
